well,date,value
well_9,1/1/1977,0.939393939
well_14,1/1/1977,94.28571429
well_14,2/1/1977,190.9894737
well_9,2/1/1977,0.965517241
well_9,3/1/1977,0.0
well_14,3/1/1977,196.9411765
well_14,4/1/1977,92.95774648
well_9,4/1/1977,0.0
well_9,5/1/1977,0.0
well_14,5/1/1977,125.8235294
well_14,6/1/1977,142.4460432
well_9,6/1/1977,0.652173913
well_14,7/1/1977,124.0
well_9,7/1/1977,0.720930233
well_9,8/1/1977,0.673913043
well_14,8/1/1977,153.8345865
well_14,9/1/1977,112.5
well_9,9/1/1977,0.631578947
well_14,10/1/1977,104.3877551
well_9,10/1/1977,0.696629213
well_14,11/1/1977,154.6875
well_9,11/1/1977,0.740740741
well_14,12/1/1977,211.3636364
well_9,12/1/1977,0.756097561
well_14,1/1/1978,200.4950495
well_9,1/1/1978,0.681318681
well_9,2/1/1978,0.666666667
well_14,2/1/1978,319.7368421
well_14,3/1/1978,46.875
well_9,3/1/1978,0.652631579
well_9,4/1/1978,0.705882353
well_14,4/1/1978,143.852459
well_14,5/1/1978,290.625
well_9,5/1/1978,0.729411765
well_9,6/1/1978,0.689655172
well_14,6/1/1978,200.4950495
well_14,7/1/1978,188.5135135
well_9,7/1/1978,0.729411765
well_9,8/1/1978,0.666666667
well_14,8/1/1978,145.3125
well_14,9/1/1978,200.4950495
well_9,9/1/1978,0.652173913
well_9,10/1/1978,0.543859649
well_14,10/1/1978,139.6551724
well_14,11/1/1978,191.0377358
well_9,11/1/1978,0.526315789
well_14,12/1/1978,139.5
well_9,12/1/1978,0.543859649
well_9,1/1/1979,0.563636364
well_14,1/1/1979,156.1567164
well_14,2/1/1979,173.3944954
well_9,2/1/1979,0.549019608
well_9,3/1/1979,0.553571429
well_14,3/1/1979,144.3103448
well_9,4/1/1979,0.576923077
well_14,4/1/1979,167.3553719
well_9,5/1/1979,0.5
well_14,5/1/1979,156.1567164
well_9,6/1/1979,1.111111111
well_14,6/1/1979,162.0
well_14,7/1/1979,171.5163934
well_9,7/1/1979,0.681318681
well_14,8/1/1979,418.5
well_9,8/1/1979,0.96875
well_9,9/1/1979,1.25
well_14,9/1/1979,75.27881041
well_9,10/1/1979,0.794871795
well_14,10/1/1979,153.8602941
well_9,11/1/1979,0.476190476
well_14,11/1/1979,132.3529412
well_9,12/1/1979,0.484375
well_14,12/1/1979,183.5526316
well_14,1/1/1980,107.3076923
well_9,1/1/1980,0.462686567
well_14,2/1/1980,143.9338235
well_9,2/1/1980,0.527272727
well_14,3/1/1980,147.3591549
well_9,3/1/1980,0.0
well_9,4/1/1980,0.0
well_14,4/1/1980,97.56410256
well_9,5/1/1980,0.0
well_14,5/1/1980,63.07754011
well_14,6/1/1980,164.5652174
well_9,6/1/1980,0.0
well_9,7/1/1980,0.0
well_14,7/1/1980,72.21153846
well_9,8/1/1980,0.0
well_14,8/1/1980,76.90963855
well_9,9/1/1980,0.0
well_14,9/1/1980,88.78817734
well_14,10/1/1980,97.58757062
well_9,10/1/1980,1.148148148
well_14,11/1/1980,110.4411765
well_9,11/1/1980,1.111111111
well_9,12/1/1980,0.892086331
well_14,12/1/1980,116.405
well_9,1/1/1981,0.529010239
well_14,1/1/1981,0.0
well_9,2/1/1981,1.026476578
well_14,2/1/1981,0.0
well_9,3/1/1981,1.523876404
well_14,3/1/1981,0.0
well_14,4/1/1981,0.0
well_9,4/1/1981,1.360103627
well_9,5/1/1981,2.131630648
well_14,5/1/1981,0.0
well_14,6/1/1981,0.0
well_9,6/1/1981,4.515706806
well_14,7/1/1981,0.0
well_9,7/1/1981,2.854107649
well_9,8/1/1981,5.008077544
well_14,8/1/1981,0.0
well_9,9/1/1981,3.524229075
well_14,9/1/1981,0.0
well_9,10/1/1981,2.334337349
well_14,10/1/1981,0.0
well_9,11/1/1981,2.798507463
well_14,11/1/1981,0.0
well_14,12/1/1981,95.91584158
well_9,12/1/1981,2.91718946
well_14,1/1/1982,89.28571429
well_9,1/1/1982,13.62637363
well_9,2/1/1982,13.65853659
well_14,2/1/1982,90.67357513
well_14,3/1/1982,86.80555556
well_9,3/1/1982,15.5408971
well_9,4/1/1982,6.479481641
well_14,4/1/1982,92.59259259
well_9,5/1/1982,7.935153584
well_14,5/1/1982,111.4649682
well_9,6/1/1982,7.5928009
well_14,6/1/1982,111.882716
well_9,7/1/1982,7.5
well_14,7/1/1982,107.6388889
well_9,8/1/1982,6.90936107
well_14,8/1/1982,132.7054795
well_9,9/1/1982,6.595744681
well_14,9/1/1982,122.3776224
well_14,10/1/1982,23.38888889
well_9,10/1/1982,7.531347962
well_14,11/1/1982,23.38810198
well_9,11/1/1982,5.097087379
well_14,12/1/1982,23.39002933
well_9,12/1/1982,4.671985816
well_9,1/1/1983,5.193298969
well_14,1/1/1983,23.38787879
well_9,2/1/1983,4.675834971
well_14,2/1/1983,23.38928571
well_14,3/1/1983,23.38793103
well_9,3/1/1983,4.100529101
well_14,4/1/1983,23.3880597
well_9,4/1/1983,4.109589041
well_9,5/1/1983,4.270696452
well_14,5/1/1983,23.38695652
well_14,6/1/1983,23.38709677
well_9,6/1/1983,5.067567568
well_14,7/1/1983,23.3878327
well_9,7/1/1983,4.718151071
well_14,8/1/1983,23.38993711
well_9,8/1/1983,4.976958525
well_14,9/1/1983,23.38888889
well_9,9/1/1983,3.462619449
well_14,10/1/1983,145.1291391
well_9,10/1/1983,4.289122137
well_14,11/1/1983,170.0447154
well_9,11/1/1983,4.55801105
well_9,12/1/1983,3.778125
well_14,12/1/1983,106.6657895
well_14,1/1/1984,64.22810219
well_9,1/1/1984,4.618755478
well_9,2/1/1984,3.902511962
well_14,2/1/1984,67.81412639
well_9,3/1/1984,10.67266949
well_14,3/1/1984,13.60121457
well_14,4/1/1984,0.821670429
well_9,4/1/1984,7.260556128
well_14,5/1/1984,2.971537002
well_9,5/1/1984,8.413910093
well_9,6/1/1984,4.467093768
well_14,6/1/1984,10.11052632
well_14,7/1/1984,10.36363636
well_9,7/1/1984,2.92280495
well_14,8/1/1984,10.36346863
well_9,8/1/1984,6.050069541
well_14,9/1/1984,9.202558635
well_9,9/1/1984,19.58099352
well_9,10/1/1984,6.424433249
well_14,10/1/1984,10.11081081
well_9,11/1/1984,6.394109397
well_14,11/1/1984,10.1108291
well_9,12/1/1984,9.222222222
well_14,12/1/1984,10.09814815
well_14,1/1/1985,243.8827586
well_9,1/1/1985,7.73489011
well_9,2/1/1985,4.371007371
well_14,2/1/1985,8.378461538
well_9,3/1/1985,4.956521739
well_14,3/1/1985,51.90703518
well_14,4/1/1985,5.64469914
well_9,4/1/1985,5.278538813
well_14,5/1/1985,52.58550725
well_9,5/1/1985,10.56456954
well_14,6/1/1985,119.9038462
well_9,6/1/1985,18.60547945
well_9,7/1/1985,19.72593801
well_14,7/1/1985,86.93319838
well_14,8/1/1985,15.4379562
well_9,8/1/1985,35.54046243
well_14,9/1/1985,16.02094241
well_9,9/1/1985,29.68934911
well_9,10/1/1985,3.809748428
well_14,10/1/1985,16.23342175
well_14,11/1/1985,71.32758621
well_9,11/1/1985,4.467377399
well_14,12/1/1985,44.47440273
well_9,12/1/1985,3.824053452
well_14,1/1/1986,42.71544715
well_9,1/1/1986,4.541229385
well_9,2/1/1986,4.525493799
well_14,2/1/1986,43.24528302
well_9,3/1/1986,5.63255814
well_14,3/1/1986,30.23918575
well_9,4/1/1986,5.258325404
well_14,4/1/1986,22.47663551
well_9,5/1/1986,5.941479401
well_14,5/1/1986,30.83333333
well_14,6/1/1986,23.125
well_9,6/1/1986,6.205602537
well_9,7/1/1986,10.19083396
well_14,7/1/1986,23.125
well_14,8/1/1986,22.02380952
well_9,8/1/1986,9.684536082
well_14,9/1/1986,0.0
well_9,9/1/1986,10.75396163
well_9,10/1/1986,9.338177015
well_14,10/1/1986,20.30487805
well_9,11/1/1986,7.130851664
well_14,11/1/1986,28.61728395
well_14,12/1/1986,33.33421751
well_9,12/1/1986,7.391253644
well_9,1/1/1987,5.557985758
well_14,1/1/1987,33.33173077
well_14,2/1/1987,33.33189655
well_9,2/1/1987,4.337816865
well_14,3/1/1987,33.332
well_9,3/1/1987,4.717791411
well_14,4/1/1987,33.33191489
well_9,4/1/1987,5.380387258
well_14,5/1/1987,33.33333333
well_9,5/1/1987,4.918065153
well_14,6/1/1987,33.33505155
well_9,6/1/1987,4.20626072
well_9,7/1/1987,3.931919643
well_14,7/1/1987,33.332
well_9,8/1/1987,4.108433735
well_14,8/1/1987,32.33225806
well_9,9/1/1987,4.004139834
well_14,9/1/1987,33.33333333
well_14,10/1/1987,26.74390244
well_9,10/1/1987,3.341176471
well_9,11/1/1987,3.953563715
well_14,11/1/1987,26.80748663
well_9,12/1/1987,3.850853549
well_14,12/1/1987,27.17
well_9,1/1/1988,3.475437136
well_14,1/1/1988,27.23417722
well_9,2/1/1988,4.34127844
well_14,2/1/1988,27.26086957
well_14,3/1/1988,27.26633166
well_9,3/1/1988,3.859821429
well_14,4/1/1988,32.33333333
well_9,4/1/1988,4.531410917
well_14,5/1/1988,27.26086957
well_9,5/1/1988,3.411214953
well_9,6/1/1988,4.158326497
well_14,6/1/1988,27.25
well_14,7/1/1988,26.78061224
well_9,7/1/1988,5.456487342
well_9,8/1/1988,5.963534362
well_14,8/1/1988,26.91794872
well_14,9/1/1988,26.94011976
well_9,9/1/1988,5.579816514
well_14,10/1/1988,26.85581395
well_9,10/1/1988,4.730653266
well_9,11/1/1988,4.021297193
well_14,11/1/1988,33.33333333
well_14,12/1/1988,33.33333333
well_9,12/1/1988,3.737365369
well_14,1/1/1989,33.33571429
well_9,1/1/1989,3.05106383
well_14,2/1/1989,33.33163265
well_9,2/1/1989,2.69522092
well_9,3/1/1989,2.386648122
well_14,3/1/1989,33.33179724
well_14,4/1/1989,33.33497537
well_9,4/1/1989,2.799142244
well_14,5/1/1989,33.33333333
well_9,5/1/1989,2.759246806
well_9,6/1/1989,3.027909861
well_14,6/1/1989,33.33103448
well_9,7/1/1989,5.316428379
well_14,7/1/1989,49.0
well_9,8/1/1989,6.548352046
well_14,8/1/1989,34.71428571
well_14,9/1/1989,49.0
well_9,9/1/1989,6.732576985
well_14,10/1/1989,49.0
well_9,10/1/1989,2.844314559
well_9,11/1/1989,2.101468373
well_14,11/1/1989,49.0
well_14,12/1/1989,49.0
well_9,12/1/1989,4.056016598
well_9,1/1/1990,6.835606604
well_9,2/1/1990,11.1718113
well_9,3/1/1990,8.97428023
well_9,4/1/1990,5.567497291
well_9,5/1/1990,8.746562616
well_9,6/1/1990,9.495422922
well_9,7/1/1990,5.124282434
well_9,8/1/1990,6.288656625
well_9,9/1/1990,8.158263773
well_9,10/1/1990,9.377081293
well_9,11/1/1990,8.736601579
well_9,12/1/1990,16.51667801
well_9,1/1/1991,10.53387904
well_9,2/1/1991,10.58609723
well_9,3/1/1991,9.575243594
well_9,4/1/1991,6.736377025
well_9,5/1/1991,11.70791075
well_9,6/1/1991,22.89090909
well_9,7/1/1991,29.75324675
well_9,8/1/1991,46.42372881
well_9,9/1/1991,49.76582278
well_9,10/1/1991,71.99621212
well_9,11/1/1991,12.70168067
well_9,12/1/1991,18.06925881
well_9,1/1/1992,22.19871795
well_9,2/1/1992,37.43942134
well_9,3/1/1992,31.14023372
well_9,4/1/1992,38.13414634
well_9,5/1/1992,64.83526682
well_9,6/1/1992,25.34724858
well_9,7/1/1992,12.41666667
well_9,8/1/1992,11.83333333
well_9,9/1/1992,5.954857704
well_9,10/1/1992,5.177966102
well_9,11/1/1992,3.153448276
well_9,12/1/1992,0.679597701
well_9,1/1/1993,2.530393325
well_9,2/1/1993,8.861915367
well_9,3/1/1993,13.13585746
well_9,4/1/1993,11.75330396
well_9,5/1/1993,26.7125
well_9,6/1/1993,6.602985075
well_9,7/1/1993,7.681083898
well_9,8/1/1993,9.177664975
well_9,9/1/1993,8.438698431
well_9,10/1/1993,6.774130328
well_9,11/1/1993,5.676048248
well_9,12/1/1993,6.376764387
well_9,1/1/1994,6.720480893
well_9,2/1/1994,5.928285078
well_9,3/1/1994,4.089134126
well_9,4/1/1994,2.235320484
well_9,5/1/1994,2.73631341
well_9,6/1/1994,2.449681529
well_9,7/1/1994,4.193302892
well_9,8/1/1994,8.745072273
well_9,9/1/1994,17.27377522
well_9,10/1/1994,15.23417722
well_9,11/1/1994,10.57711096
well_9,12/1/1994,10.3399361
well_9,1/1/1995,7.738553114
well_9,2/1/1995,8.094506793
well_9,3/1/1995,7.719311377
well_9,4/1/1995,6.757787667
well_9,5/1/1995,4.645241038
